country,EU_mobile_all,key_worker,EU_mobile,axis1
"AT",.0982356,0,.0952469," AT"
"BE",.0882216,0,.0895558," BE"
"BG",.0009196,0,.0008975," BG"
"CY",.1172663,0,.1212525," CY"
"CZ",.0197591,0,.0199193," CZ"
"DE",.0772374,0,.0722861," DE"
"DK",.0508532,0,.0468176," DK"
"EE",.0090081,0,.0098766," EE"
"ES",.0513368,0,.0538373," ES"
"FI",.0238545,0,.0221834," FI"
"FR",.0348388,0,.0325105," FR"
"EL",.0146856,0,.0154128," EL"
"HR",.0180702,0,.0193198," HR"
"HU",.0150867,0,.0147339," HU"
"IE",.1698034,0,.1695473," IE"
"IT",.0446664,0,.0375526," IT"
"LT",.0043492,0,.0041479," LT"
"LU",.4706016,0,.4955466," LU"
"LV",.0067271,0,.0067872," LV"
"NL",.0329285,0,.0331321," NL"
"PL",.0012177,0,.0011935," PL"
"PT",.0281601,0,.0287418," PT"
"RO",.0002189,0,.0002349," RO"
"SE",.0565241,0,.0529818," SE"
"SI",.0206263,0,.0205271," SI"
"SK",.0053576,0,.006092," SK"
"AT",.0982356,1,.1039243," AT"
"BE",.0882216,1,.086001," BE"
"BG",.0009196,1,.0010733," BG"
"CY",.1172663,1,.1078553," CY"
"CZ",.0197591,1,.0193671," CZ"
"DE",.0772374,1,.0886724," DE"
"DK",.0508532,1,.0562945," DK"
"EE",.0090081,1,.0068335," EE"
"ES",.0513368,1,.0466791," ES"
"FI",.0238545,1,.026411," FI"
"FR",.0348388,1,.0382682," FR"
"EL",.0146856,1,.0134416," EL"
"HR",.0180702,1,.0154204," HR"
"HU",.0150867,1,.0159363," HU"
"IE",.1698034,1,.1703043," IE"
"IT",.0446664,1,.0597033," IT"
"LT",.0043492,1,.004781," LT"
"LU",.4706016,1,.4129249," LU"
"LV",.0067271,1,.0065811," LV"
"NL",.0329285,1,.032532," NL"
"PL",.0012177,1,.0013329," PL"
"PT",.0281601,1,.0269252," PT"
"RO",.0002189,1,.0001939," RO"
"SE",.0565241,1,.0618999," SE"
"SI",.0206263,1,.0213562," SI"
"SK",.0053576,1,.0035964," SK"
