country,non_EU_born_all,key_worker,non_EU_born,axis1
"AT",.1109859,0,.106245," AT"
"BE",.090837,0,.0815872," BE"
"BG",.0025597,0,.0023123," BG"
"CY",.1232744,0,.0988707," CY"
"CZ",.019796,0,.0208665," CZ"
"DE",.1066382,0,.0986339," DE"
"DK",.0816164,0,.0740374," DK"
"EE",.0874903,0,.077365," EE"
"ES",.1131947,0,.1079452," ES"
"FI",.03048,0,.0270483," FI"
"FR",.0874108,0,.0822342," FR"
"EL",.0648268,0,.0689303," EL"
"HR",.0908374,0,.095198," HR"
"HU",.0067457,0,.0069921," HU"
"IE",.0752763,0,.0665164," IE"
"IT",.0990663,0,.0879259," IT"
"LT",.0395013,0,.0370221," LT"
"LU",.1020084,0,.0967318," LU"
"LV",.0936528,0,.0914583," LV"
"NL",.0812164,0,.0767304," NL"
"PL",.0050238,0,.0052351," PL"
"PT",.0719839,0,.0679491," PT"
"RO",.0011148,0,.0011912," RO"
"SE",.1432506,0,.1224975," SE"
"SI",.0818406,0,.0866407," SI"
"SK",.0032236,0,.0031783," SK"
"AT",.1109859,1,.1200096," AT"
"BE",.090837,1,.1062324," BE"
"BG",.0025597,1,.004283," BG"
"CY",.1232744,1,.1808896," CY"
"CZ",.019796,1,.0171755," CZ"
"DE",.1066382,1,.125124," DE"
"DK",.0816164,1,.0918353," DK"
"EE",.0874903,1,.1128407," EE"
"ES",.1131947,1,.122973," ES"
"FI",.03048,1,.0357303," FI"
"FR",.0874108,1,.0950357," FR"
"EL",.0648268,1,.0578075," EL"
"HR",.0908374,1,.0815906," HR"
"HU",.0067457,1,.0061521," HU"
"IE",.0752763,1,.0924137," IE"
"IT",.0990663,1,.1226145," IT"
"LT",.0395013,1,.0448187," LT"
"LU",.1020084,1,.1142088," LU"
"LV",.0936528,1,.0989786," LV"
"NL",.0812164,1,.0899491," NL"
"PL",.0050238,1,.0040149," PL"
"PT",.0719839,1,.0805485," PT"
"RO",.0011148,1,.0009958," RO"
"SE",.1432506,1,.1747456," SE"
"SI",.0818406,1,.046516," SI"
"SK",.0032236,1,.0033323," SK"
